scenario,rep,n_inducing,pi_clip,method,estimand,true_value,posterior_mean,bias,abs_error,squared_error,ci_lower,ci_upper,ci_width,covered,posterior_sd
strong_heterogeneous,177,160,0.02,exact_gp,population_ate_bb,1.0,0.6894331744459762,-0.3105668255540238,0.3105668255540238,0.09645175313470346,0.3884991345572477,0.9759718721422274,0.5874727375849796,0.0,0.14713659031964346
strong_heterogeneous,178,160,0.02,exact_gp,population_ate_bb,1.0,1.0120338489241232,0.01203384892412318,0.01203384892412318,0.00014481351992862062,0.7113193591034584,1.3070526655195864,0.595733306416128,1.0,0.14694195784836786
strong_heterogeneous,179,160,0.02,exact_gp,population_ate_bb,1.0,1.0528273076291499,0.05282730762914989,0.05282730762914989,0.002790724431344838,0.7638551322628023,1.3583046015926954,0.5944494693298931,1.0,0.15207179522411463
strong_heterogeneous,180,160,0.02,exact_gp,population_ate_bb,1.0,0.7423837876199811,-0.25761621238001886,0.25761621238001886,0.06636611288102698,0.464677150246023,1.0322782023687778,0.5676010521227548,1.0,0.14532441147242414
strong_heterogeneous,181,160,0.02,exact_gp,population_ate_bb,1.0,1.1072200362483064,0.10722003624830645,0.10722003624830645,0.011496136173088149,0.8249281117720485,1.38946235312949,0.5645342413574416,1.0,0.14856497007863514
strong_heterogeneous,182,160,0.02,exact_gp,population_ate_bb,1.0,0.9942503393629973,-0.005749660637002663,0.005749660637002663,3.305859744069787e-05,0.6948189117443864,1.2977929957532968,0.6029740840089104,1.0,0.15123987261277752
strong_heterogeneous,183,160,0.02,exact_gp,population_ate_bb,1.0,0.7773657611068311,-0.2226342388931689,0.2226342388931689,0.0495660043275406,0.5044363571376591,1.076233888706377,0.5717975315687178,1.0,0.14777547696039936
strong_heterogeneous,184,160,0.02,exact_gp,population_ate_bb,1.0,0.7723399343699161,-0.2276600656300839,0.2276600656300839,0.05182910548269411,0.4973029500504919,1.0426945385351172,0.5453915884846252,1.0,0.14361817363760265
strong_heterogeneous,185,160,0.02,exact_gp,population_ate_bb,1.0,0.9430287177931388,-0.05697128220686121,0.05697128220686121,0.0032457269962938204,0.663156851670098,1.2567308619927726,0.5935740103226747,1.0,0.15263470087256117
strong_heterogeneous,186,160,0.02,exact_gp,population_ate_bb,1.0,0.6770770844411789,-0.32292291555882113,0.32292291555882113,0.10427920939300953,0.3889330282606694,0.9675714230044951,0.5786383947438256,0.0,0.14758576348617863
strong_heterogeneous,187,160,0.02,exact_gp,population_ate_bb,1.0,1.0493944884063926,0.0493944884063926,0.0493944884063926,0.002439815484929253,0.7558604900250023,1.3366194950268262,0.5807590050018239,1.0,0.14935827024247275
strong_heterogeneous,188,160,0.02,exact_gp,population_ate_bb,1.0,0.9604152741780677,-0.03958472582193229,0.03958472582193229,0.0015669505183975529,0.67563451678366,1.2498752673098874,0.5742407505262274,1.0,0.14994910030895958
strong_heterogeneous,189,160,0.02,exact_gp,population_ate_bb,1.0,0.7762383179058813,-0.22376168209411873,0.22376168209411873,0.05006929037358945,0.47289410413693644,1.0609710342651364,0.5880769301282,1.0,0.14828379690465698
strong_heterogeneous,190,160,0.02,exact_gp,population_ate_bb,1.0,0.9791846329167831,-0.02081536708321685,0.02081536708321685,0.0004332795068090676,0.6863412896159529,1.261984053230864,0.5756427636149111,1.0,0.14716496346964042
strong_heterogeneous,191,160,0.02,exact_gp,population_ate_bb,1.0,1.0446069902980557,0.044606990298055704,0.044606990298055704,0.0019897835834508356,0.760620346364433,1.3534397618639988,0.5928194154995658,1.0,0.152519517095738
strong_heterogeneous,192,160,0.02,exact_gp,population_ate_bb,1.0,0.661568785032953,-0.338431214967047,0.338431214967047,0.11453568726407157,0.3787413532216776,0.9397062742564251,0.5609649210347474,0.0,0.14350033756359828
strong_heterogeneous,193,160,0.02,exact_gp,population_ate_bb,1.0,0.9294570222845369,-0.07054297771546314,0.07054297771546314,0.004976311704964329,0.6354114314028974,1.2145408305021625,0.5791293990992652,1.0,0.15110419806182135
strong_heterogeneous,194,160,0.02,exact_gp,population_ate_bb,1.0,0.8683063788928183,-0.13169362110718175,0.13169362110718175,0.017343209840321946,0.5880929989775787,1.149070672271563,0.5609776732939842,1.0,0.1458537830720619
strong_heterogeneous,195,160,0.02,exact_gp,population_ate_bb,1.0,0.9747581312794946,-0.025241868720505378,0.025241868720505378,0.0006371519365032278,0.6658367724773022,1.2810987466417718,0.6152619741644696,1.0,0.15782149555818276
strong_heterogeneous,196,160,0.02,exact_gp,population_ate_bb,1.0,0.9133777720691953,-0.08662222793080465,0.08662222793080465,0.007503410371696274,0.6241590568751129,1.1918904852176395,0.5677314283425267,1.0,0.1453589922909442
strong_heterogeneous,197,160,0.02,exact_gp,population_ate_bb,1.0,0.9124907558070003,-0.08750924419299966,0.08750924419299966,0.0076578678192300445,0.6276702085567107,1.2086000603623883,0.5809298518056776,1.0,0.14716869543283312
strong_heterogeneous,198,160,0.02,exact_gp,population_ate_bb,1.0,0.7379624107117104,-0.2620375892882896,0.2620375892882896,0.06866369820001833,0.43683622816805645,1.0280155527632289,0.5911793245951724,1.0,0.15172672538066495
strong_heterogeneous,199,160,0.02,exact_gp,population_ate_bb,1.0,0.8393741758926596,-0.1606258241073404,0.1606258241073404,0.025800655370162254,0.5592662024687408,1.1306642852499222,0.5713980827811814,1.0,0.14844141870003386
