scenario,rep,n_rff,pi_clip,method,estimand,true_value,posterior_mean,bias,abs_error,squared_error,ci_lower,ci_upper,ci_width,covered,posterior_sd
weak_heterogeneous,19,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.6603051844023157,-0.33969481559768433,0.33969481559768433,0.11539256774394475,0.3309038953272277,0.9732365573143327,0.642332661987105,0.0,0.16477273700574238
weak_heterogeneous,20,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0141633577431441,0.014163357743144145,0.014163357743144145,0.00020060070256028122,0.721918475140922,1.3046093807272294,0.5826909055863074,1.0,0.149634688125367
weak_heterogeneous,21,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.1500396269489612,0.15003962694896122,0.15003962694896122,0.02251188965498345,0.8042254769334919,1.5053217486034416,0.7010962716699497,1.0,0.17983892671255372
weak_heterogeneous,22,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8526824271128203,-0.14731757288717973,0.14731757288717973,0.02170246728136951,0.5408440415659881,1.176612610596929,0.6357685690309409,1.0,0.1645975025521659
weak_heterogeneous,23,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0874923663587484,0.08749236635874835,0.08749236635874835,0.00765491417105344,0.7437578251088782,1.4290886159303293,0.6853307908214511,1.0,0.17050280194322498
weak_heterogeneous,24,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0806273972179483,0.08062739721794832,0.08062739721794832,0.00650077718214082,0.7609096895958467,1.4103279572266048,0.649418267630758,1.0,0.16537858558777355
weak_heterogeneous,25,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.7240583300899934,-0.27594166991000657,0.27594166991000657,0.07614380519272303,0.41643250552906,1.0348872154886997,0.6184547099596396,1.0,0.1572154194110185
weak_heterogeneous,26,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.093246660845825,0.09324666084582489,0.09324666084582489,0.008694939758896294,0.761309614639298,1.4249445187168601,0.6636349040775621,1.0,0.16112978336603356
weak_heterogeneous,27,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0201582729864387,0.020158272986438686,0.020158272986438686,0.0004063559697957836,0.704642444184017,1.3292617927822044,0.6246193485981874,1.0,0.1576980499456592
weak_heterogeneous,28,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.068637334287127,0.06863733428712693,0.06863733428712693,0.00471108365804281,0.7698198652748661,1.375259913724175,0.6054400484493089,1.0,0.15510475498444884
weak_heterogeneous,29,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8102418704415432,-0.18975812955845683,0.18975812955845683,0.036008147733524086,0.5041664538656471,1.1246965800605917,0.6205301261949446,1.0,0.15889273060196046
weak_heterogeneous,30,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9530150504946084,-0.04698494950539156,0.04698494950539156,0.0022075854800241946,0.6162458110629038,1.265426955307823,0.6491811442449192,1.0,0.16574490694221336
weak_heterogeneous,31,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8845376744642227,-0.11546232553577729,0.11546232553577729,0.013331548618129808,0.5859831446570162,1.1902410429046009,0.6042578982475847,1.0,0.15584874270666543
weak_heterogeneous,32,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.1131176549435324,0.11311765494353243,0.11311765494353243,0.012795603859924067,0.818772621108008,1.4340948303918568,0.6153222092838488,1.0,0.1560140291648259
weak_heterogeneous,33,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9063071912301988,-0.09369280876980124,0.09369280876980124,0.008778342415174544,0.6153294964715522,1.1933046316974365,0.5779751352258843,1.0,0.14914990871715572
weak_heterogeneous,34,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.7395989875185226,-0.2604010124814774,0.2604010124814774,0.06780868730137855,0.431260686551935,1.0785036953674723,0.6472430088155372,1.0,0.16174333696460205
weak_heterogeneous,35,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9253845506113176,-0.07461544938868236,0.07461544938868236,0.005567465287475019,0.6212172969251931,1.2269921764972964,0.6057748795721033,1.0,0.15570641916236408
weak_heterogeneous,36,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9800827867192334,-0.019917213280766566,0.019917213280766566,0.00039669538487154405,0.6739276313015345,1.2842853180988938,0.6103576867973592,1.0,0.15608198211116484
weak_heterogeneous,37,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9273901614127779,-0.07260983858722214,0.07260983858722214,0.005272188659662454,0.6216938197138966,1.2221868687392656,0.600493049025369,1.0,0.15425980664549935
weak_heterogeneous,38,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.750157921406266,-0.24984207859373397,0.24984207859373397,0.06242106423603754,0.4389626693972639,1.0605954882729292,0.6216328188756652,1.0,0.16074886275859548
weak_heterogeneous,39,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.133055780310028,0.13305578031002807,0.13305578031002807,0.017703840673910454,0.8156216602877606,1.4417337182511696,0.626112057963409,1.0,0.15784376260441468
weak_heterogeneous,40,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0144674865434475,0.014467486543447539,0.014467486543447539,0.0002093081668848356,0.703208241418176,1.3300866966851894,0.6268784552670135,1.0,0.16324631368282005
weak_heterogeneous,41,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.04280380190522,0.04280380190521993,0.04280380190521993,0.0018321654575413093,0.7286605564148324,1.36109626718181,0.6324357107669777,1.0,0.165085220984911
weak_heterogeneous,42,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9561712485373277,-0.04382875146267229,0.04382875146267229,0.0019209594547766984,0.6137310245873759,1.288843539807087,0.675112515219711,1.0,0.1756717397575313
weak_heterogeneous,43,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.6922337549312183,-0.3077662450687817,0.3077662450687817,0.09472006160373739,0.37739366348581393,1.029141965891461,0.651748302405647,1.0,0.16230550776256938
weak_heterogeneous,44,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9228835673506246,-0.0771164326493754,0.0771164326493754,0.005946944184565652,0.598744979852887,1.244638435164775,0.645893455311888,1.0,0.1635140252955125
weak_heterogeneous,45,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8029097391508531,-0.19709026084914694,0.19709026084914694,0.03884457092158478,0.5083911003303802,1.0797897082876335,0.5713986079572534,1.0,0.146072721200523
weak_heterogeneous,46,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.976244140626674,-0.023755859373326027,0.023755859373326027,0.000564340854565242,0.6590075092208258,1.2978507040230012,0.6388431948021753,1.0,0.16609678769094854
weak_heterogeneous,47,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.028445218063275,0.028445218063275046,0.028445218063275046,0.000809130430667269,0.7107316183297044,1.3341841282562001,0.6234525099264957,1.0,0.16172425626348053
weak_heterogeneous,48,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8162985083110278,-0.1837014916889722,0.1837014916889722,0.03374623804875353,0.500387361151651,1.1375471079323531,0.6371597467807022,1.0,0.16069143819625883
weak_heterogeneous,49,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0296044890802076,0.02960448908020763,0.02960448908020763,0.0008764257737001328,0.723601017112502,1.3297541962301176,0.6061531791176156,1.0,0.15794374155094112
weak_heterogeneous,50,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.086797380770666,0.0867973807706659,0.0867973807706659,0.0075337853086479625,0.7786644952243381,1.3747765826986,0.5961120874742619,1.0,0.1525504271725501
